timestamp,gyro_angle_around_y,gyro_angle_around_x,accel_angle_around_y,accel_angle_around_x,dt,gyro_dps_x,gyro_dps_y,gyro_dps_z,accel_ms2_x,accel_ms2_y,accel_ms2_z,gyro_raw_x,gyro_raw_y,gyro_raw_z,accel_raw_x,accel_raw_y,accel_raw_z
2026-02-06T07:04:26.381967,2.4037283467882573,161.80107391153598,168.29054038318822,157.8236382021008,0.10006022453308105,34.12213740458015,-3.7099236641221376,-0.3816793893129771,1.8489550781250002,3.636238403320313,-8.920848999023438,2235,-243,-25,3088,6073,-14899
2026-02-06T07:04:26.481895,4.6786509797773395,165.1028395572693,170.07676396255334,162.97525304286023,0.09993791580200195,33.038167938931295,-22.763358778625953,7.679389312977099,1.6447796630859375,2.8788134765625,-9.401649169921875,2164,-1491,503,2747,4808,-15702
2026-02-06T07:04:26.581958,4.174809441311679,168.26788049435814,171.23474696310717,164.59389006915066,0.10000491142272949,31.64885496183206,5.038167938931298,1.3893129770992367,1.457369384765625,2.604583740234375,-9.451944580078125,2073,330,91,2434,4350,-15786
2026-02-06T07:04:26.681895,5.889193079853797,171.87373459430157,171.2227664205632,170.40304238242095,0.09999299049377441,36.06106870229008,-17.14503816793893,7.511450381679389,1.4986834716796875,1.6411871337890627,-9.706415405273438,2362,-1123,492,2503,2741,-16211
2026-02-06T07:04:26.781941,5.0812329190378085,174.63210141931796,171.72026308399285,171.41846478216064,0.10004043579101562,27.572519083969464,8.076335877862595,0.3969465648854962,1.4567706298828125,1.5106585693359376,-10.010582885742188,1806,529,26,2433,2523,-16719
2026-02-06T07:04:26.881891,5.093441377159305,175.970453640887,172.19229411044464,176.6133697977006,0.09995675086975098,13.389312977099237,-0.12213740458015267,-4.0458015267175576,1.312470703125,0.566422119140625,-9.571695556640625,877,-8,-265,2192,946,-15986
2026-02-06T07:04:26.981948,5.241619343066045,177.05963807069634,170.25437115404043,177.9431829333895,0.10005831718444824,10.885496183206106,-1.4809160305343512,-7.419847328244275,1.6579522705078127,0.34667907714843754,-9.653126220703125,713,-97,-486,2769,579,-16122
2026-02-06T07:04:27.081896,5.377418030309324,177.71269243182132,173.15599960067837,176.4262485811714,0.09994173049926758,6.534351145038168,-1.3587786259541985,-0.04580152671755725,1.1909234619140625,0.6197113037109375,-9.92256591796875,428,-89,-3,1989,1035,-16572
2026-02-06T07:04:27.181953,5.368252492132999,178.03806903708087,173.88829251865312,176.81613627816262,0.10005712509155273,3.2519083969465647,0.0916030534351145,-4.229007633587786,1.0591973876953125,0.5502557373046876,-9.892029418945313,213,6,-277,1769,919,-16521
2026-02-06T07:04:27.281893,5.39419144346515,178.34781063240007,172.5705296558293,177.22002267727768,0.09994125366210938,3.099236641221374,-0.2595419847328244,0.0,1.2831317138671876,0.477806396484375,-9.839937744140625,203,-17,0,2143,798,-16434
2026-02-06T07:04:27.381958,5.285725855645344,178.58612938873654,172.90440403986855,177.8708430407268,0.10006332397460938,2.381679389312977,1.083969465648855,-2.2442748091603053,1.2148736572265626,0.36284545898437504,-9.75970458984375,156,71,-147,2029,606,-16300
2026-02-06T07:04:27.481894,5.288777540658278,178.74176532439617,172.45693003019136,177.2397617978321,0.09994268417358398,1.5572519083969465,-0.030534351145038167,-1.5877862595419847,1.304088134765625,0.47481262207031255,-9.8483203125,102,-2,-104,2178,793,-16448
2026-02-06T07:04:27.581922,6.412681703349118,179.54346326653297,173.81573785756134,177.56521832788354,0.1000213623046875,8.01526717557252,-11.236641221374045,1.6641221374045803,1.057401123046875,0.4149371337890625,-9.758507080078125,525,-736,109,1766,693,-16298
2026-02-06T07:04:27.681920,6.589743191959306,-179.88719246405668,173.92754359279232,178.45760857852014,0.09997868537902832,5.694656488549619,-1.7709923664122138,1.6946564885496183,1.059796142578125,0.2682421875,-9.962083740234375,373,-116,111,1770,448,-16638
2026-02-06T07:04:27.781941,6.169715084192419,-179.75583821944593,174.26883737766656,179.01412113947816,0.10004305839538574,1.3129770992366412,4.198473282442748,-1.7099236641221374,0.9777667236328126,0.1676513671875,-9.742340698242188,86,275,-112,1633,280,-16271
2026-02-06T07:04:27.881892,5.795847106525929,-179.55288131728412,173.6927628460215,179.11682402380399,0.09995245933532715,2.030534351145038,3.7404580152671754,-0.4580152671755725,1.086141357421875,0.15148498535156252,-9.82676513671875,133,245,-30,1814,253,-16412
