# fs_hz,100.0
# duration_s,4500
# gyro_offset_counts_x,1093
# gyro_offset_counts_y,-320
# gyro_offset_counts_z,-19

t_s,accel_x,accel_y,accel_z,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_corr,gyro_y_corr,gyro_z_corr
1.330092,2813,13567,8822,-70,-94,17,-1163,226,36
1.340088,2813,13552,8835,-77,-81,24,-1170,239,43
1.350092,2904,13551,8904,-85,-50,34,-1178,270,53
1.360088,2904,13504,8913,-88,-32,36,-1181,288,55
1.370091,2911,13489,8924,-91,-10,40,-1184,310,59
1.380092,2944,13538,8936,-94,0,40,-1187,320,59
1.390087,2954,13555,8937,-105,22,33,-1198,342,52
1.400091,2863,13506,8917,-110,32,29,-1203,352,48
1.410125,2857,13501,8925,-116,38,25,-1209,358,44
1.420088,2882,13520,9004,-127,34,19,-1220,354,38
1.430104,2882,13509,9012,-134,23,17,-1227,343,36
1.440117,2886,13493,8993,-148,0,15,-1241,320,34
1.450092,2977,13509,8994,-156,-6,18,-1249,314,37
1.460092,2987,13501,9026,-162,-9,20,-1255,311,39
1.470091,2896,13440,9052,-171,-12,22,-1264,308,41
1.480090,2869,13434,9037,-173,-11,21,-1266,309,40
1.490097,2843,13440,9038,-178,-1,15,-1271,319,34
1.500092,2824,13442,9038,-183,4,14,-1276,324,33
1.510091,2826,13457,9022,-199,4,25,-1292,324,44
1.520086,2857,13539,8975,-212,3,35,-1305,323,54
1.530083,2860,13573,8947,-229,6,45,-1322,326,64
1.540085,2826,13563,8915,-261,20,60,-1354,340,79
1.550107,2829,13543,8932,-278,32,65,-1371,352,84
1.560087,2858,13520,9003,-309,63,73,-1402,383,92
1.570085,2837,13482,9068,-322,78,77,-1415,398,96
1.580085,2799,13437,9133,-343,85,92,-1436,405,111
1.590085,2777,13369,9231,-351,77,104,-1444,397,123
1.600084,2802,13348,9253,-358,72,114,-1451,392,133
1.610082,2846,13259,9292,-367,66,122,-1460,386,141
1.620086,2859,13235,9329,-370,69,121,-1463,389,140
1.630124,2863,13197,9403,-372,80,117,-1465,400,136
1.640105,2864,13181,9410,-372,83,117,-1465,403,136
1.650094,2888,13157,9408,-371,92,119,-1464,412,138
1.660093,2955,13059,9538,-370,95,120,-1463,415,139
1.670092,2981,12993,9639,-365,93,122,-1458,413,141
1.680091,2990,12864,9719,-346,74,115,-1439,394,134
